SNP	Chromosome	Position	trait1	N1	N2	Rawposition
SAUSA300_0670	6	91696	0.000134004085274699	-	ABC transporter ATP-binding protein	744526
SAUSA300_1374	12	105237	0.000137970835228641	-	hypothetical protein	1541463
SAUSA300_1661	14	128743	0.000140243999883418	thiI	thiamine biosynthesis protein ThiI	1826101
SAUSA300_1174	10	118533	0.000142126381392736	-	hypothetical protein	1293627
SAUSA300_0640	5	193036	0.000143592332282572	-	hypothetical protein	715300
SAUSA300_0827	7	124928	0.000145486309314046	-	hypothetical protein	908324
SAUSA300_1992	16	191210	0.000146181659647771	agrA	accessory gene regulator protein A	2149700
SAUSA300_0749	6	184118	0.000147304087783679	-	hypothetical protein	836948
SAUSA300_1370	12	100840	0.000148369831536093	ebpS	cell surface elastin binding protein	1537066
SAUSA300_0119	1	136451	0.000149435809097402	-	ornithine cyclodeaminase	136451
SAUSA300_1252	11	72619	0.000151000071566391	-	amino acid carrier protein	1378279
SAUSA300_1189	10	136197	0.000158232098191461	mutL	DNA mismatch repair protein	1311291
SAUSA300_0899	8	74493	0.000159547770274718	-	adaptor protein	988455
SAUSA300_0009	0	144665	0.000163742021503011	serS	seryl-tRNA synthetase	14099
SAUSA300_1846	15	180251	0.000176243014595071	-	hypothetical protein	2008175
SAUSA300_1363	12	93199	0.000178576817792087	gpsA	NAD-P-H-dependent glycerol-3-phosphate dehydrogenase	1529425
SAUSA300_0705	6	130202	0.000178711055999626	recQ	ATP-dependent DNA helicase RecQ	783032
SAUSA300_2081	17	154081	0.000183352677841227	pyrG	CTP synthetase	2243137
SAUSA300_1307	11	134598	0.000186315882048507	arlS	sensor histidine kinase protein	1440258
SAUSA300_1756	15	113415	0.000188065707059976	splC	serine protease SplC	1941339
SAUSA300_0961	8	139047	0.000192367003352289	qoxC	quinol oxidase- subunit III	1053009
SAUSA300_1542	13	125178	0.000192546493627713	hrcA	heat-inducible transcription repressor HrcA	1691970
SAUSA300_0081	1	91197	0.000193830486764803	-	hypothetical protein	91197
SAUSA300_0207	2	115212	0.0001979928949716	-	hypothetical protein	245778
SAUSA300_1758	15	115039	0.000200829121265947	splA	serine protease SplA	1942963
SAUSA300_1596	13	183782	0.000202147114154895	queA	S-adenosylmethionine-tRNA ribosyltransferase-isomerase	1750574
SAUSA300_1534	13	116899	0.000203107690011456	-	hypothetical protein	1683691
SAUSA300_1755	15	112575	0.000203646402064117	splD	serine protease SplD	1940499
SAUSA300_0822	7	119897	0.000206849154592036	sufB	FeS assembly protein SufB	903293
SAUSA300_1313	11	140761	0.00020755850309531	ctpA	carboxyl-terminal protease	1446421
SAUSA300_0639	5	191513	0.000208704893625407	-	hypothetical protein	713777
SAUSA300_1906	16	114671	0.000210569609847973	-	hypothetical protein	2073161
SAUSA300_2599	22	84001	0.000212888995372464	tetR	intercellular adhesion operon transcription regulator	2825887
SAUSA300_2554	21	150693	0.000212985802544521	-	sulfite reductase flavoprotein	2762013
SAUSA300_2126	18	79621	0.000213233908001512	-	EmrB/QacA family drug resistance transporter	2299243
SAUSA300_1347	12	77793	0.000213263971095259	birA	BirA bifunctional protein	1514019
SAUSA300_1606	13	191438	0.000214229648224949	-	hypothetical protein	1758230
SAUSA300_0021	0	158058	0.000215979398383194	-	sensory box histidine kinase	27492
SAUSA300_1320	11	145749	0.00021896073265167	thyA	thymidylate synthase	1451409
SAUSA300_2486	21	75980	0.000220999145300228	-	putative ATP-dependent Clp proteinase	2687300
SAUSA300_2057	17	131461	0.000224487847022054	atpC	F0F1 ATP synthase subunit epsilon	2220517
SAUSA300_2503	21	96521	0.000226783411891556	-	secretory antigen precursor SsaA	2707841
SAUSA300_2022	17	95940	0.000233664097226506	rpoF	RNA polymerase sigma factor SigB	2184996
SAUSA300_1532	13	115177	0.000240922907781089	-	hypothetical protein	1681969
SAUSA300_1158	10	99468	0.000248037262540651	-	hypothetical protein	1274562
SAUSA300_1860	15	193700	0.000248794330158833	pepS	aminopeptidase PepS	2021624
SAUSA300_1657	14	124977	0.000248919689668452	ackA	acetate kinase	1822335
SAUSA300_0005	0	137561	0.00025074853046468	gyrB	DNA gyrase subunit B	6995
SAUSA300_0650	6	73044	0.000251014226021391	-	phosphate transporter family protein	725874
SAUSA300_2186	18	142990	0.000253977221042219	rpmD	50S ribosomal protein L30	2362612
SAUSA300_0815	7	111179	0.000255629901214822	ear	Ear protein	894575
SAUSA300_1299	11	123160	0.000264104319258779	-	putative tellurite resistance protein	1428820
SAUSA300_0872	7	174028	0.000265863081480812	-	hypothetical protein	957424
SAUSA300_0824	7	121946	0.000270884896673977	-	hypothetical protein	905342
SAUSA300_2378	20	77509	0.000271202002789283	-	hypothetical protein	2558263
SAUSA300_0520	4	189611	0.000275140005894189	secE	preprotein translocase subunit SecE	581309
SAUSA300_2504	21	97649	0.000276885557098126	-	acyltransferase	2708969
SAUSA300_1571	13	153263	0.00027832813799944	-	O-methyltransferase family protein	1720055
SAUSA300_1083	9	140496	0.000278861530443343	-	hypothetical protein	1185024
SAUSA300_1269	11	92648	0.000279282925710431	femA	methicillin resistance protein FemA	1398308
SAUSA300_0737	6	167116	0.00027995945105353	secA	preprotein translocase subunit SecA	819946
SAUSA300_1130	9	194718	0.000280441265528985	ffh	signal recognition particle protein	1239246
SAUSA300_1614	14	70200	0.0002806183909627	hemL	glutamate-1-semialdehyde aminotransferase	1767558
SAUSA300_0673	6	95089	0.000290988192328847	-	cobalamin synthesis protein/P47K family protein	747919
SAUSA300_0759	6	195259	0.000291449922770417	gpmI	phosphoglyceromutase	848089
SAUSA300_1599	13	186461	0.000293420072531321	-	hypothetical protein	1753253
SAUSA300_0452	4	119329	0.000294650846799133	dnaX	DNA polymerase III subunit gamma and tau	511027
SAUSA300_1310	11	138139	0.00029606899017626	-	hypothetical protein	1443799
SAUSA300_2021	17	93356	0.000298433415245069	-	S1 RNA-binding domain-containing protein	2182412
SAUSA300_1446	12	164132	0.000306701852025661	-	hypothetical protein	1600358
SAUSA300_0704	6	128409	0.000312912099186622	-	ABC transporter ATP-binding protein	781239
SAUSA300_1055	9	109165	0.000317544992080574	efb	fibrinogen-binding protein	1153693
SAUSA300_2458	20	174637	0.000326680110050408	-	glyoxylase family protein	2655391
SAUSA300_1077	9	134135	0.000330665362146632	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	1178663
SAUSA300_0910	8	84074	0.000342673744412531	mgtE	magnesium transporter	998036
SAUSA300_0531	5	72040	0.000342862704817652	-	30S ribosomal protein S7	594304
SAUSA300_0488	4	155509	0.000343070714158535	hpt	hypoxanthine phosphoribosyltransferase	547207
SAUSA300_1172	10	116897	0.000343877309886396	-	M16 family peptidase	1291991
SAUSA300_1162	10	103405	0.000348296469018408	infB	translation initiation factor IF-2	1278499
SAUSA300_2643	22	125022	0.000353245104167168	-	ParB family chromosome partioning protein ParB family	2866908
SAUSA300_2251	19	67742	0.000357489966412361	-	dehydrogenase family protein	2417930
SAUSA300_0362	3	155778	0.000357924661802819	-	hypothetical protein	416910
SAUSA300_2200	18	148597	0.000367926242605352	rpsS	30S ribosomal protein S19	2368219
SAUSA300_0659	6	83633	0.000373202004031186	-	sugar efflux transporter	736463
SAUSA300_2074	17	146624	0.000374549869688968	rpmE2	50S ribosomal protein L31 type B	2235680
SAUSA300_2181	18	140021	0.000374604981710267	rpmJ	50S ribosomal protein L36	2359643
SAUSA300_1453	12	169529	0.000385895566845051	-	ribonuclease Z	1605755
SAUSA300_1611	13	195681	0.000391924971823111	valS	valyl-tRNA synthetase	1762473
SAUSA300_2142	18	99691	0.000391933758385486	asp23	alkaline shock protein 23	2319313
SAUSA300_1658	14	126267	0.000392996877661548	-	hypothetical protein	1823625
SAUSA300_0774	7	81673	0.000399173203394414	empbp	secretory extracellular matrix and plasma binding protein	865069
SAUSA300_1013	8	194419	0.000400598160374729	-	cell cycle protein FtsW	1108381
SAUSA300_0826	7	124088	0.000403423241546909	-	hypothetical protein	907484
SAUSA300_2397	20	101483	0.000404503046700199	-	putative transport protein	2582237
SAUSA300_1720	15	75167	0.000405767592667893	-	hypothetical protein	1903091
SAUSA300_2541	21	132790	0.000406854405216484	mqo	malate-quinone oxidoreductase	2744110
SAUSA300_0918	8	93050	0.00040743045417703	-	diacylglycerol glucosyltransferase	1007012
SAUSA300_1659	14	127337	0.000410464740779831	tpx	thiol peroxidase	1824695
SAUSA300_1464	12	181851	0.000413467872264844	-	2-oxoisovalerate dehydrogenase- E2 component- dihydrolipoamide acetyltransferase	1618077
SAUSA300_1156	10	94137	0.000421951294775566	proS	prolyl-tRNA synthetase	1269231
SAUSA300_1159	10	100664	0.000423342748822454	nusA	transcription elongation factor NusA	1275758
SAUSA300_1567	13	149930	0.00042497641450843	greA	transcription elongation factor GreA	1716722
SAUSA300_1345	12	73462	0.000431827009021184	asnC	asparaginyl-tRNA synthetase	1509688
SAUSA300_0513	4	184336	0.000434338715372074	gltX	glutamyl-tRNA synthetase	576034
SAUSA300_1048	9	103512	0.00043583920616056	sdhB	succinate dehydrogenase iron-sulfur subunit	1148040
SAUSA300_1135	10	66987	0.000435842407751715	-	hypothetical protein	1242081
SAUSA300_0921	8	97945	0.000438323989184578	prfC	peptide chain release factor 3	1011907
SAUSA300_2038	17	114226	0.000438623900328477	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	2203282
SAUSA300_0015	0	151321	0.000440136141095873	rplI	50S ribosomal protein L9	20755
SAUSA300_1852	15	186585	0.000446118184810466	-	putative ABC transporter ATP-binding protein	2014509
SAUSA300_1792	15	145654	0.000447254820142541	-	hypothetical protein	1973578
SAUSA300_1072	9	127946	0.000454638936281951	mraZ	cell division protein MraZ	1172474
SAUSA300_1114	9	176718	0.000458324459643571	rsgA	hypothetical protein	1221246
SAUSA300_0836	7	133684	0.00046713096390986	dltB	dltB protein	917080
SAUSA300_1575	13	155264	0.00047611953400012	alaS	alanyl-tRNA synthetase	1722056
SAUSA300_0471	4	138838	0.000483032140945889	-	hypothetical protein	530536
SAUSA300_2258	19	74805	0.00048343079702039	-	formate dehydrogenase- alpha subunit	2424993
SAUSA300_1096	9	157541	0.000486938113640639	carB	carbamoyl phosphate synthase large subunit	1202069
SAUSA300_0631	5	184227	0.000500197278756434	-	putative nucleoside transporter	706491
SAUSA300_1586	13	169313	0.000509435429205018	aspS	aspartyl-tRNA synthetase	1736105
SAUSA300_1155	10	92414	0.000512214659868033	-	putative membrane-associated zinc metalloprotease	1267508
SAUSA300_2408	20	112373	0.000522948226833379	-	oligopeptide ABC transporter ATP-binding protein	2593127
SAUSA300_1795	15	150548	0.000524276443157082	-	hypothetical protein	1978472
SAUSA300_2197	18	147101	0.000525775758098696	rplP	50S ribosomal protein L16	2366723
SAUSA300_0548	5	100096	0.000525958308393876	sdrE	sdrE protein	622360
SAUSA300_1605	13	190203	0.000532059307898395	mreC	rod shape-determining protein MreC	1756995
SAUSA300_1352	12	82747	0.000538473672640606	-	hypothetical protein	1518973
SAUSA300_0841	7	136098	0.000539237859291392	-	hypothetical protein	919494
SAUSA300_1974	16	170278	0.000543729916408456	-	leukocidin/hemolysin toxin family protein	2128768
SAUSA300_2406	20	110426	0.00054515819351618	-	putative transporter	2591180
SAUSA300_0279	3	72795	0.000548362499392261	-	hypothetical protein	333927
SAUSA300_2285	19	107219	0.000552729582249864	galM	aldose 1-epimerase	2457407
SAUSA300_1015	9	67999	0.000553224494329246	ctaA	cytochrome oxidase assembly protein	1112527
SAUSA300_1471	12	190139	0.000555151398410362	xseB	exodeoxyribonuclease VII small subunit	1626365
SAUSA300_1235	10	178517	0.000555891244805862	guaC	guanosine 5--monophosphate oxidoreductase	1353611
SAUSA300_1007	8	189378	0.000561373205928263	-	inositol monophosphatase family protein	1103340
SAUSA300_2644	22	125904	0.000561906888509558	gidB	16S rRNA methyltransferase GidB	2867790
SAUSA300_1698	14	175966	0.000571638015075568	-	hypothetical protein	1873324
SAUSA300_0627	5	178618	0.000572966971508799	tagX	teichoic acid biosynthesis protein X	700882
SAUSA300_1360	12	91025	0.000577579343114253	ubiE	ubiquinone/menaquinone biosynthesis methyltransferase	1527251
SAUSA300_1455	12	173342	0.000586586776658877	-	AraC family transcriptional regulator	1609568
SAUSA300_1351	12	81995	0.000617053381926305	-	hypothetical protein	1518221
SAUSA300_2360	19	185591	0.000619312004061536	-	multidrug resistance protein	2535779
SAUSA300_1459	12	176893	0.000624997393897069	gnd	6-phosphogluconate dehydrogenase	1613119
SAUSA300_0551	5	103583	0.000625389728758241	-	putative GTP cyclohydrolase	625847
SAUSA300_2060	17	134216	0.000630032909716162	atpA	F0F1 ATP synthase subunit alpha	2223272
SAUSA300_0122	1	141201	0.000631671287323141	-	IucA/IucC family siderophore biosynthesis protein	141201
SAUSA300_1635	14	92380	0.000643454383351529	mutM	formamidopyrimidine-DNA glycosylase	1789738
SAUSA300_1111	9	172874	0.000647481243998065	-	ribosomal RNA large subunit methyltransferase N	1217402
SAUSA300_1076	9	132784	0.000650357392686822	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	1177312
SAUSA300_2422	20	126550	0.000653767080046603	-	short chain dehydrogenase/reductase family oxidoreductase	2607304
SAUSA300_0481	4	149605	0.000659721926297292	mfd	transcription-repair coupling factor	541303
SAUSA300_2494	21	87630	0.000670155767563205	-	copper-translocating P-type ATPase	2698950
SAUSA300_1536	13	118295	0.000682624879523915	-	hypothetical protein	1685087
SAUSA300_0674	6	96100	0.000694228676891388	-	aldo/keto reductase family oxidoreductase	748930
SAUSA300_2389	20	91170	0.0007109848152525	-	putative drug transporter	2571924
SAUSA300_1052	9	106461	0.000713825303703134	-	fibrinogen-binding protein	1150989
SAUSA300_0509	4	176908	0.000732948462710652	-	ATP-guanido phosphotransferase	568606
SAUSA300_1443	12	161538	0.000733055902839236	rluB	ribosomal large subunit pseudouridine synthase B	1597764
SAUSA300_0874	7	175567	0.000736354505482962	-	hypothetical protein	958963
SAUSA300_1889	16	94436	0.000740933387082113	purB	adenylosuccinate lyase	2052926
SAUSA300_1546	13	130407	0.000753091515152638	holA	DNA polymerase III subunit delta	1697199
SAUSA300_2213	18	160742	0.000753882251842371	-	AcrB/AcrD/AcrF family protein	2380364
SAUSA300_1284	11	107634	0.000756503109752817	-	hypothetical protein	1413294
SAUSA300_0605	5	156242	0.000758020674117135	sarA	accessory regulator A	678506
SAUSA300_1127	9	191756	0.000758427007412287	smc	chromosome segregation protein SMC	1236284
SAUSA300_0438	4	100985	0.000759214140433062	-	CHAP domain-contain protein	492683
SAUSA300_1336	11	195047	0.000767928428092213	-	hypothetical protein	1500707
SAUSA300_1874	16	76372	0.000768536711531219	-	ferritins family protein	2034862
SAUSA300_1154	10	90866	0.000790470965831296	cdsA	phosphatidate cytidylyltransferase	1265960
SAUSA300_2540	21	132597	0.000816710563429631	-	fructose-1-6-bisphosphate aldolase	2743917
SAUSA300_2185	18	142533	0.000819759970277359	rplO	50S ribosomal protein L15	2362155
SAUSA300_1649	14	114096	0.000820744381647174	dnaE	DNA polymerase III- alpha subunit	1811454
SAUSA300_2096	17	170838	0.000824036883272494	manA	mannose-6-phosphate isomerase	2259894
SAUSA300_1634	14	91741	0.000829665077574587	coaE	dephospho-CoA kinase	1789099
SAUSA300_0630	5	182639	0.000843601542758513	-	ABC transporter ATP-binding protein	704903
SAUSA300_1255	11	78316	0.0008458786580625	fmtC	oxacillin resistance-related FmtC protein	1383976
SAUSA300_0592	5	144162	0.000848469808008743	-	hypothetical protein	666426
SAUSA300_0764	7	70487	0.000850618295844344	rnr	ribonuclease R	853883
SAUSA300_0382	3	170176	0.00087254426313947	-	sodium-dicarboxylate symporter family protein	431308
SAUSA300_2191	18	145088	0.000876769348578125	rpsN	30S ribosomal protein S14	2364710
SAUSA300_1371	12	102453	0.000877785532115325	recQ	ATP-dependent DNA helicase RecQ	1538679
SAUSA300_1285	11	110284	0.000881311778078283	-	ABC transporter ATP-binding protein	1415944
SAUSA300_1797	15	152264	0.000888226279338852	-	hypothetical protein	1980188
SAUSA300_1122	9	185074	0.000891743314506523	plsX	putative glycerol-3-phosphate acyltransferase PlsX	1229602
SAUSA300_0539	5	83991	0.000919885791164218	ilvE	branched-chain amino acid aminotransferase	606255
SAUSA300_1003	8	185460	0.00092002753923044	-	hypothetical protein	1099422
SAUSA300_1508	13	92279	0.000925751001256935	-	hypothetical protein	1659071
SAUSA300_1636	14	93268	0.000929160808528455	polA	DNA polymerase I superfamily protein	1790626
SAUSA300_1086	9	142328	0.00097178041058879	-	hypothetical protein	1186856
SAUSA300_2177	18	137816	0.000983014439155628	rplQ	50S ribosomal protein L17	2357438
SAUSA300_0304	3	93088	0.00100431974444741	-	hypothetical protein	354220
SAUSA300_2129	18	83477	0.00101270522533225	-	putative hemolysin III	2303099
SAUSA300_0964	8	143302	0.00103084719222179	-	hypothetical protein	1057264
SAUSA300_1646	14	110421	0.0010454625312264	accA	acetyl-CoA carboxylase carboxyltransferase subunit alpha	1807779
SAUSA300_1869	16	70075	0.00104641973626297	map	methionine aminopeptidase	2028565
SAUSA300_1989	16	189021	0.001056834295209	agrB	accessory gene regulator protein B	2147511
SAUSA300_1630	14	87545	0.00110136981617509	dnaI	primosomal protein DnaI	1784903
SAUSA300_1574	13	154941	0.00110469015327227	-	hypothetical protein	1721733
SAUSA300_0695	6	117290	0.00110928884193524	-	radical activating enzyme family protein	770120
SAUSA300_2193	18	145862	0.00111365486774018	rplX	50S ribosomal protein L24	2365484
SAUSA300_0602	5	154156	0.00111844867359607	-	hypothetical protein	676420
SAUSA300_2354	19	180684	0.00112212026953946	-	putative lipoprotein	2530872
SAUSA300_0097	1	108249	0.00112538983456421	-	hypothetical protein	108249
SAUSA300_1624	14	81138	0.00112733149566929	-	MutT/nudix family protein	1778496
SAUSA300_2491	21	82219	0.00112747654867869	-	1-pyrroline-5-carboxylate dehydrogenase	2693539
SAUSA300_2326	19	153244	0.00112978177953495	-	transcription regulatory protein	2503432
SAUSA300_1237	10	179935	0.00113157576933053	lexA	LexA repressor	1355029
SAUSA300_1918	16	126196	0.00117245079628953	-	truncated beta-hemolysin	2084686
SAUSA300_0613	5	164511	0.00117923223464783	-	putative monovalent cation/H+ antiporter subunit D	686775
SAUSA300_2232	18	179326	0.00118279206346362	-	acetyltransferase	2398948
SAUSA300_1845	15	178864	0.0011889979858658	hemL	glutamate-1-semialdehyde aminotransferase	2006788
SAUSA300_0865	7	162932	0.00119003899773621	pgi	glucose-6-phosphate isomerase	946328
SAUSA300_2219	18	169636	0.0011917897203565	moaA	molybdenum cofactor biosynthesis protein A	2389258
SAUSA300_1348	12	78751	0.00119494760544147	-	tRNA CCA-pyrophosphorylase	1514977
SAUSA300_1188	10	134175	0.00120469819651711	mutS	DNA mismatch repair protein MutS	1309269
SAUSA300_1104	9	164525	0.00121041311099248	coaBC	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	1209053
SAUSA300_1318	11	144216	0.00122058907498858	-	hypothetical protein	1449876
SAUSA300_1074	9	129312	0.00123178478457838	ftsL	cell division protein	1173840
SAUSA300_1650	14	117314	0.00124432692785018	-	hypothetical protein	1814672
SAUSA300_0182	2	80981	0.00124653729153651	-	4--phosphopantetheinyl transferase superfamily protein	211547
SAUSA300_1570	13	152337	0.00124914916126833	-	U32 family peptidase	1719129
SAUSA300_2223	18	171983	0.00125163199741731	mobB	molybdopterin-guanine dinucleotide biosynthesis protein B	2391605
SAUSA300_1357	12	87562	0.00125317171082199	aroC	chorismate synthase	1523788
SAUSA300_1356	12	86472	0.00127621069772277	aroB	3-dehydroquinate synthase	1522698
SAUSA300_1306	11	131516	0.00127653222243031	sucA	2-oxoglutarate dehydrogenase E1 component	1437176
SAUSA300_2579	21	186246	0.00127776248885968	-	N-acetylmuramoyl-L-alanine amidase	2797566
SAUSA300_0783	7	88027	0.00127817197947286	-	phosphoglycerate mutase family protein	871423
SAUSA300_1681	14	155648	0.00128390285493524	acuC	acetoin utilization protein AcuC	1853006
SAUSA300_0224	2	137666	0.00128978086781406	coa	staphylocoagulase	268232
SAUSA300_0277	3	68248	0.00129372656377825	-	putative staphyloxanthin biosynthesis protein	329380
SAUSA300_1672	14	140355	0.00131712290577433	nagE	phosphotransferase system- N-acetylglucosamine-specific IIBC component	1837713
SAUSA300_0624	5	174405	0.00132769086814457	tagH	teichoic acids export protein ATP-binding subunit	696669
SAUSA300_0525	4	192858	0.00133549491932468	rplL	50S ribosomal protein L7/L12	584556
SAUSA300_0529	5	70992	0.00134213209851562	-	putative ribosomal protein L7Ae-like	593256
SAUSA300_1316	11	143176	0.00135062479272121	msrB	methionine sulfoxide reductase B	1448836
SAUSA300_1257	11	80148	0.00135981259051241	msrR	peptide methionine sulfoxide reductase regulator MsrR	1385808
SAUSA300_1715	15	69304	0.00137769758951177	ribD	riboflavin biosynthesis protein	1897228
SAUSA300_0215	2	123688	0.00138010427668148	-	hypothetical protein	254254
SAUSA300_2065	17	138528	0.0013927854734056	-	UDP-GlcNAc 2-epimerase	2227584
SAUSA300_0432	4	94531	0.00139719751487645	-	sodium dependent transporter	486229
SAUSA300_1568	13	150434	0.00144747962710112	udk	uridine kinase	1717226
SAUSA300_0846	7	143082	0.00145371734802065	-	Na+/H+ antiporter family protein	926478
SAUSA300_2148	18	105614	0.00145849879713661	-	hypothetical protein	2325236
SAUSA300_1516	13	99322	0.00148731824841978	-	ABC transporter ATP-binding protein	1666114
SAUSA300_0526	4	193641	0.00149797310740907	-	methyltransferase small subunit	585339
SAUSA300_0494	4	161915	0.00151685901799238	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	553613
SAUSA300_0556	5	107808	0.00152128116100686	-	SIS domain-containing protein	630072
SAUSA300_0773	7	80300	0.00154727048544758	-	putative staphylocoagulase	863696
SAUSA300_1327	11	151151	0.00154783356360564	-	cell surface protein	1456811
SAUSA300_1754	15	111701	0.00155062965424749	splE	serine protease SplE	1939625
SAUSA300_1300	11	124173	0.00155427432889205	brnQ	branched-chain amino acid transport system II carrier protein	1429833
SAUSA300_1058	9	111839	0.00155630362077886	-	alpha-hemolysin	1156367
SAUSA300_0763	7	68081	0.00160029959888935	est	carboxylesterase	851477
SAUSA300_1342	12	71453	0.00160657367575113	-	hypothetical protein	1507679
SAUSA300_0649	6	72021	0.00161853790795433	-	hypothetical protein	724851
SAUSA300_2157	18	115223	0.00162878725863381	-	NAD-dependent deacetylase	2334845
SAUSA300_0191	2	90767	0.00163001929804303	ptsG	PTS system glucose-specific IIBC subunit	221333
SAUSA300_1157	10	98711	0.00164085651387761	polC	DNA polymerase III PolC	1273805
SAUSA300_1112	9	173624	0.00168491768309024	-	protein phosphatase 2C domain-containing protein	1218152
SAUSA300_0248	2	168997	0.00169710286837425	-	putative teichoic acid biosynthesis protein F	299563
SAUSA300_1757	15	114192	0.00170967716046889	splB	serine protease SplB	1942116
SAUSA300_1071	9	127371	0.00171457635547049	-	hypothetical protein	1171899
SAUSA300_0635	5	188717	0.00173369443303052	fhuG	ferrichrome transport permease fhuG	710981
SAUSA300_1102	9	162892	0.00174017901998652	gmk	guanylate kinase	1207420
SAUSA300_1468	12	186701	0.00176909591359537	recN	DNA repair protein RecN	1622927
SAUSA300_2498	21	90819	0.00179640491230079	crtN	squalene synthase	2702139
SAUSA300_1120	9	183308	0.00180285935381824	recG	ATP-dependent DNA helicase RecG	1227836
SAUSA300_0594	5	146220	0.00181606344845481	adh	alcohol dehydrogenase	668484
SAUSA300_1985	16	184263	0.00183551841852249	sdrH	serine-aspartate repeat-containing protein SdrH	2142753
SAUSA300_2582	21	189390	0.00183749994533365	-	hypothetical protein	2800710
SAUSA300_1474	12	192165	0.00185988482485006	-	hypothetical protein	1628391
SAUSA300_1177	10	120934	0.00186401268772628	cinA	competence/damage-inducible protein cinA	1296028
SAUSA300_0931	8	107544	0.00188638252589782	-	hypothetical protein	1021506
SAUSA300_2102	17	179200	0.00190495687602045	-	haloacid dehalogenase-like hydrolase	2268256
SAUSA300_0516	4	187187	0.00190615744880012	-	hypothetical protein	578885
SAUSA300_1872	16	73534	0.00190652820464506	-	hypothetical protein	2032024
SAUSA300_1117	9	178392	0.00191320877219	rpmB	50S ribosomal protein L28	1222920
SAUSA300_1364	12	94214	0.00191673913891228	engA	GTP-binding protein EngA	1530440
SAUSA300_0490	4	158969	0.00192397758984009	hslO	Hsp33-like chaperonin	550667
SAUSA300_1361	12	91753	0.00193316086005207	-	hypothetical protein	1527979
SAUSA300_0945	8	120447	0.00195334670600578	-	isochorismate synthase family protein	1034409
SAUSA300_1322	11	147582	0.00196563998768251	-	hypothetical protein	1453242
SAUSA300_1098	9	158954	0.00197225548259667	pyrE	orotate phosphoribosyltransferase	1203482
SAUSA300_0776	7	83505	0.00197465272807224	nuc	thermonuclease	866901
SAUSA300_1105	9	166933	0.00201646583615171	priA	primosomal protein N`	1211461
SAUSA300_1043	9	97349	0.00204196828948654	mutS2	recombination and DNA strand exchange inhibitor protein	1141877
SAUSA300_1882	16	85457	0.00206411481629522	gatC	aspartyl/glutamyl-tRNA amidotransferase subunit C	2043947
SAUSA300_1705	14	190474	0.00207509032320631	-	putative drug transporter	1887832
SAUSA300_0001	0	132471	0.00212518494961619	dnaA	chromosomal replication initiation protein	1905
SAUSA300_0847	7	143475	0.00213884600967588	-	hypothetical protein	926871
SAUSA300_2501	21	94372	0.00214758344165134	-	phytoene dehydrogenase	2705692
SAUSA300_1510	13	93938	0.00215931785631707	-	5-formyltetrahydrofolate cyclo-ligase	1660730
SAUSA300_2413	20	118034	0.00218396674510334	-	hypothetical protein	2598788
SAUSA300_0270	2	192727	0.00219771283501072	lytM	peptidoglycan hydrolase	323293
SAUSA300_1587	13	171095	0.00220022181047136	hisS	histidyl-tRNA synthetase	1737887
SAUSA300_0925	8	104618	0.0022178388331072	-	5- nucleotidase family protein	1018580
SAUSA300_2209	18	157325	0.00224102821584463	-	hypothetical protein	2376947
SAUSA300_1771	15	131307	0.00224169742900204	-	hypothetical protein	1959231
SAUSA300_1458	12	176303	0.00224953356120133	-	glyoxalase family protein	1612529
SAUSA300_0178	2	69868	0.00227766785901361	-	hypothetical protein	200434
SAUSA300_1993	16	191577	0.00229722346395736	-	PfkB family kinase	2150067
SAUSA300_0978	8	157783	0.00231174720274563	-	ABC transporter ATP-binding protein	1071745
SAUSA300_0932	8	108161	0.00232278493457281	-	hypothetical protein	1022123
SAUSA300_0511	4	181227	0.00234610929814605	radA	DNA repair protein RadA	572925
SAUSA300_2351	19	178049	0.00234685558558944	-	Zn-binding lipoprotein adcA-like protein	2528237
SAUSA300_1292	11	118140	0.00236617755572733	alr2	alanine racemase	1423800
SAUSA300_1254	11	75313	0.00242401258150948	-	hypothetical protein	1380973
SAUSA300_1707	14	193278	0.0024283417659942	-	hypothetical protein	1890636
SAUSA300_1492	13	79956	0.00242954575042057	-	hypothetical protein	1646748
SAUSA300_0328	3	120100	0.00246584959110159	-	lipoate-protein ligase A family protein	381232
SAUSA300_0482	4	151121	0.00246897147803139	-	polysaccharide biosynthesis protein	542819
SAUSA300_2024	17	97166	0.00248271227770768	rsbV	anti-sigma-B factor- antagonist	2186222
SAUSA300_2286	19	108268	0.00249049137334724	-	hypothetical protein	2458456
SAUSA300_0859	7	154151	0.00251324317234642	-	NADH-dependent flavin oxidoreductase	937547
SAUSA300_0188	2	86598	0.00252326568592487	brnQ	branched-chain amino acid transport system II carrier protein	217164
SAUSA300_0486	4	153490	0.00253688339620306	-	hypothetical protein	545188
SAUSA300_1768	15	127395	0.00254268650641385	lukD	leukotoxin LukD	1955319
SAUSA300_1664	14	131477	0.00255607558036491	ezrA	septation ring formation regulator EzrA	1828835
