SNP	Chromosome	Position	trait1	N1	N2	Rawposition
SAUSA300_1299	11	123160	0.295791917499036	-	putative tellurite resistance protein	1428820
SAUSA300_0872	7	174028	0.295948258446914	-	hypothetical protein	957424
SAUSA300_0824	7	121946	0.296406642816338	-	hypothetical protein	905342
SAUSA300_1571	13	153263	0.297072072030901	-	O-methyltransferase family protein	1720055
SAUSA300_1149	10	86439	0.297234800614587	rpsB	30S ribosomal protein S2	1261533
SAUSA300_0482	4	151121	0.297299068760868	-	polysaccharide biosynthesis protein	542819
SAUSA300_2034	17	106520	0.298685627831443	kdpA	potassium-transporting ATPase subunit A	2195576
SAUSA300_2021	17	93356	0.298804718706718	-	S1 RNA-binding domain-containing protein	2182412
SAUSA300_2458	20	174637	0.30108145827648	-	glyoxylase family protein	2655391
SAUSA300_0488	4	155509	0.3023243505796	hpt	hypoxanthine phosphoribosyltransferase	547207
SAUSA300_1172	10	116897	0.302383729029524	-	M16 family peptidase	1291991
SAUSA300_2447	20	161254	0.304110652197328	-	hypothetical protein	2642008
SAUSA300_2074	17	146624	0.30459149257788	rpmE2	50S ribosomal protein L31 type B	2235680
SAUSA300_0731	6	159604	0.304952496154454	-	glycosyl transferase- group 4 family protein	812434
SAUSA300_0641	5	194230	0.305264736198695	-	putative lipase/esterase	716494
SAUSA300_1453	12	169529	0.305372506282369	-	ribonuclease Z	1605755
SAUSA300_2142	18	99691	0.305778791464427	asp23	alkaline shock protein 23	2319313
SAUSA300_1338	12	66635	0.305934742977149	-	hypothetical protein	1502861
SAUSA300_1029	9	79963	0.306078475092648	-	iron transport associated domain-containing protein	1124491
SAUSA300_0826	7	124088	0.306540953780346	-	hypothetical protein	907484
SAUSA300_2397	20	101483	0.306614046166865	-	putative transport protein	2582237
SAUSA300_0918	8	93050	0.306805532076396	-	diacylglycerol glucosyltransferase	1007012
SAUSA300_1152	10	88934	0.307030785139204	frr	ribosome recycling factor	1264028
SAUSA300_1567	13	149930	0.307923375867792	greA	transcription elongation factor GreA	1716722
SAUSA300_0917	8	91882	0.308439832491325	-	hypothetical protein	1005844
SAUSA300_1808	15	162444	0.308481854616133	-	amino acid ABC transporter permease/substrate-binding protein	1990368
SAUSA300_0981	8	163535	0.308542908061912	-	hypothetical protein	1077497
SAUSA300_1048	9	103512	0.308598845524432	sdhB	succinate dehydrogenase iron-sulfur subunit	1148040
SAUSA300_0015	0	151321	0.308862387274998	rplI	50S ribosomal protein L9	20755
SAUSA300_1852	15	186585	0.309227511601418	-	putative ABC transporter ATP-binding protein	2014509
SAUSA300_1072	9	127946	0.30973634130351	mraZ	cell division protein MraZ	1172474
SAUSA300_1114	9	176718	0.309956679131961	rsgA	hypothetical protein	1221246
SAUSA300_2201	18	148942	0.310210354369808	rplB	50S ribosomal protein L2	2368564
SAUSA300_0898	8	73403	0.3104735519813	spxA	transcriptional regulator Spx	987365
SAUSA300_0631	5	184227	0.3123468701271	-	putative nucleoside transporter	706491
SAUSA300_0250	2	171007	0.312749740101701	-	alcohol dehydrogenase- zinc-containing	301573
SAUSA300_1795	15	150548	0.313647536749381	-	hypothetical protein	1978472
SAUSA300_1605	13	190203	0.314056656640617	mreC	rod shape-determining protein MreC	1756995
SAUSA300_1007	8	189378	0.315563182744199	-	inositol monophosphatase family protein	1103340
SAUSA300_1698	14	175966	0.316071947765984	-	hypothetical protein	1873324
SAUSA300_1455	12	173342	0.316804549774421	-	AraC family transcriptional regulator	1609568
SAUSA300_1518	13	101133	0.31776464850266	-	DEAD-box ATP dependent DNA helicase	1667925
SAUSA300_1459	12	176893	0.318619388945163	gnd	6-phosphogluconate dehydrogenase	1613119
SAUSA300_1340	12	68707	0.318631101172194	recU	Holliday junction-specific endonuclease	1504933
SAUSA300_1635	14	92380	0.319460390823757	mutM	formamidopyrimidine-DNA glycosylase	1789738
SAUSA300_1111	9	172874	0.319641196354692	-	ribosomal RNA large subunit methyltransferase N	1217402
SAUSA300_0454	4	120339	0.320100107496373	recR	recombination protein RecR	512037
SAUSA300_0863	7	158676	0.320468191309757	argH	argininosuccinate lyase	942072
SAUSA300_2389	20	91170	0.322380362492119	-	putative drug transporter	2571924
SAUSA300_1365	12	95746	0.322556291672149	rpsA	30S ribosomal protein S1	1531972
SAUSA300_1879	16	80842	0.322938961915558	-	putative lipid kinase	2039332
SAUSA300_1012	8	192879	0.323068893142352	-	hypothetical protein	1106841
SAUSA300_1889	16	94436	0.32360366276986	purB	adenylosuccinate lyase	2052926
SAUSA300_1546	13	130407	0.32408977053904	holA	DNA polymerase III subunit delta	1697199
SAUSA300_1255	11	78316	0.324280974082241	fmtC	oxacillin resistance-related FmtC protein	1383976
SAUSA300_0605	5	156242	0.324283544724718	sarA	accessory regulator A	678506
SAUSA300_1336	11	195047	0.324672972382816	-	hypothetical protein	1500707
SAUSA300_1371	12	102453	0.324762633103202	recQ	ATP-dependent DNA helicase RecQ	1538679
SAUSA300_1683	14	157275	0.325723164118803	-	bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase	1854633
SAUSA300_1644	14	107405	0.32698510371861	pyk	pyruvate kinase	1804763
SAUSA300_0523	4	191675	0.32753574146392	rplA	50S ribosomal protein L1	583373
SAUSA300_0592	5	144162	0.327697815779105	-	hypothetical protein	666426
SAUSA300_2298	19	119565	0.328124515820465	-	multidrug resistance protein B- drug resistance transporter	2469753
SAUSA300_1661	14	128743	0.328234316364631	thiI	thiamine biosynthesis protein ThiI	1826101
SAUSA300_0382	3	170176	0.328555933093647	-	sodium-dicarboxylate symporter family protein	431308
SAUSA300_1799	15	153729	0.329214497360681	-	putative sensor histidine kinase	1981653
SAUSA300_2171	18	132919	0.329425992208787	rpsI	30S ribosomal protein S9	2352541
SAUSA300_0521	4	190172	0.329738781104868	nusG	transcription antitermination protein	581870
SAUSA300_0539	5	83991	0.330191273380252	ilvE	branched-chain amino acid aminotransferase	606255
SAUSA300_1636	14	93268	0.330504907574969	polA	DNA polymerase I superfamily protein	1790626
SAUSA300_2055	17	129290	0.331481837387235	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2218346
SAUSA300_0520	4	189611	0.332468034299846	secE	preprotein translocase subunit SecE	581309
SAUSA300_1525	13	110872	0.332996365092824	glyS	glycyl-tRNA synthetase	1677664
SAUSA300_2129	18	83477	0.333211218322497	-	putative hemolysin III	2303099
SAUSA300_1134	10	66743	0.333271622265496	rplS	50S ribosomal protein L19	1241837
SAUSA300_0306	3	94365	0.333517352676851	brnQ	branched-chain amino acid transport system II carrier protein	355497
SAUSA300_0964	8	143302	0.333775128416703	-	hypothetical protein	1057264
SAUSA300_1869	16	70075	0.334253831882395	map	methionine aminopeptidase	2028565
SAUSA300_1989	16	189021	0.334570116544173	agrB	accessory gene regulator protein B	2147511
SAUSA300_2072	17	144601	0.335223389435852	prfA	peptide chain release factor 1	2233657
SAUSA300_1162	10	103405	0.33528319996831	infB	translation initiation factor IF-2	1278499
SAUSA300_2249	19	65814	0.335571172978584	ssaA	secretory antigen precursor SsaA	2416002
SAUSA300_1630	14	87545	0.335901419577538	dnaI	primosomal protein DnaI	1784903
SAUSA300_2071	17	143778	0.336020236164605	-	HemK family modification methylase	2232834
SAUSA300_0602	5	154156	0.336397786213693	-	hypothetical protein	676420
SAUSA300_1138	10	72904	0.336403921836568	sucC	succinyl-CoA synthetase subunit beta	1247998
SAUSA300_2354	19	180684	0.336506496094644	-	putative lipoprotein	2530872
SAUSA300_1624	14	81138	0.336653395115045	-	MutT/nudix family protein	1778496
SAUSA300_2491	21	82219	0.336664647852737	-	1-pyrroline-5-carboxylate dehydrogenase	2693539
SAUSA300_0097	1	108249	0.336672908007216	-	hypothetical protein	108249
SAUSA300_2326	19	153244	0.33672438684907	-	transcription regulatory protein	2503432
SAUSA300_1237	10	179935	0.33677478970669	lexA	LexA repressor	1355029
SAUSA300_2180	18	139633	0.337023136703248	rpsM	30S ribosomal protein S13	2359255
SAUSA300_1918	16	126196	0.337929318550401	-	truncated beta-hemolysin	2084686
SAUSA300_0613	5	164511	0.338127922161756	-	putative monovalent cation/H+ antiporter subunit D	686775
SAUSA300_2232	18	179326	0.338219048071513	-	acetyltransferase	2398948
SAUSA300_1845	15	178864	0.338411286420217	hemL	glutamate-1-semialdehyde aminotransferase	2006788
SAUSA300_0865	7	162932	0.338418750941487	pgi	glucose-6-phosphate isomerase	946328
SAUSA300_0620	5	171003	0.33844811428615	-	ABC transporter ATP-binding protein	693267
SAUSA300_2219	18	169636	0.338472819352558	moaA	molybdenum cofactor biosynthesis protein A	2389258
SAUSA300_1348	12	78751	0.338560833814687	-	tRNA CCA-pyrophosphorylase	1514977
SAUSA300_1104	9	164525	0.338993947700745	coaBC	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	1209053
SAUSA300_1318	11	144216	0.339254077217843	-	hypothetical protein	1449876
SAUSA300_1052	9	106461	0.339294491361891	-	fibrinogen-binding protein	1150989
SAUSA300_1555	13	137436	0.339636166981013	aroE	shikimate 5-dehydrogenase	1704228
SAUSA300_1357	12	87562	0.340130246138134	aroC	chorismate synthase	1523788
SAUSA300_0693	6	115887	0.340341584789263	-	hypothetical protein	768717
SAUSA300_0783	7	88027	0.340779788108745	-	phosphoglycerate mutase family protein	871423
SAUSA300_1681	14	155648	0.340937538287836	acuC	acetoin utilization protein AcuC	1853006
SAUSA300_0782	7	86988	0.340946343347688	-	hypothetical protein	870384
SAUSA300_0277	3	68248	0.341189743643486	-	putative staphyloxanthin biosynthesis protein	329380
SAUSA300_0624	5	174405	0.342049031329701	tagH	teichoic acids export protein ATP-binding subunit	696669
SAUSA300_0791	7	93181	0.342092877711288	gcvH	glycine cleavage system protein H	876577
SAUSA300_0525	4	192858	0.34224555574215	rplL	50S ribosomal protein L7/L12	584556
SAUSA300_1257	11	80148	0.34285409770641	msrR	peptide methionine sulfoxide reductase regulator MsrR	1385808
SAUSA300_0215	2	123688	0.343353637576578	-	hypothetical protein	254254
SAUSA300_1516	13	99322	0.345905713818354	-	ABC transporter ATP-binding protein	1666114
SAUSA300_0526	4	193641	0.346150084706278	-	methyltransferase small subunit	585339
SAUSA300_1246	10	194742	0.347223894550066	acnA	aconitate hydratase	1369836
SAUSA300_1300	11	124173	0.34742772474215	brnQ	branched-chain amino acid transport system II carrier protein	1429833
SAUSA300_1058	9	111839	0.347470885545748	-	alpha-hemolysin	1156367
SAUSA300_1327	11	151151	0.347545571551731	-	cell surface protein	1456811
SAUSA300_0191	2	90767	0.34909342507683	ptsG	PTS system glucose-specific IIBC subunit	221333
SAUSA300_1163	10	104141	0.349855429196037	rbfA	ribosome-binding factor A	1279235
SAUSA300_1071	9	127371	0.350865401790929	-	hypothetical protein	1171899
SAUSA300_1496	13	81991	0.350937297842406	-	glycine dehydrogenase subunit 2	1648783
SAUSA300_0635	5	188717	0.351258527725917	fhuG	ferrichrome transport permease fhuG	710981
SAUSA300_1640	14	100933	0.351371448307651	icd	isocitrate dehydrogenase	1798291
SAUSA300_1084	9	140798	0.352155169693579	-	hypothetical protein	1185326
SAUSA300_1120	9	183308	0.352656961282812	recG	ATP-dependent DNA helicase RecG	1227836
SAUSA300_1985	16	184263	0.353316709526186	sdrH	serine-aspartate repeat-containing protein SdrH	2142753
SAUSA300_2582	21	189390	0.353347789955226	-	hypothetical protein	2800710
SAUSA300_1666	14	134618	0.353355531004047	rpsD	30S ribosomal protein S4	1831976
SAUSA300_1177	10	120934	0.353855972158742	cinA	competence/damage-inducible protein cinA	1296028
SAUSA300_2102	17	179200	0.354636455254007	-	haloacid dehalogenase-like hydrolase	2268256
SAUSA300_2064	17	137259	0.354647124220423	atpB	F0F1 ATP synthase subunit A	2226315
SAUSA300_0516	4	187187	0.35465901309049	-	hypothetical protein	578885
SAUSA300_1872	16	73534	0.354666727442913	-	hypothetical protein	2032024
SAUSA300_1117	9	178392	0.354792262269946	rpmB	50S ribosomal protein L28	1222920
SAUSA300_2395	20	99461	0.355144167251245	-	amino acid permease	2580215
SAUSA300_1361	12	91753	0.355170143174877	-	hypothetical protein	1527979
SAUSA300_1322	11	147582	0.355786824942259	-	hypothetical protein	1453242
SAUSA300_1454	12	172246	0.355792775407492	zwf	glucose-6-phosphate 1-dehydrogenase	1608472
SAUSA300_1098	9	158954	0.355899339583495	pyrE	orotate phosphoribosyltransferase	1203482
SAUSA300_0776	7	83505	0.355944269321565	nuc	thermonuclease	866901
SAUSA300_1105	9	166933	0.356712329356682	priA	primosomal protein N`	1211461
SAUSA300_0946	8	122107	0.356839663667472	menD	2-succinyl-6-hydroxy-2-4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase	1036069
SAUSA300_1043	9	97349	0.357172388110243	mutS2	recombination and DNA strand exchange inhibitor protein	1141877
SAUSA300_1219	10	163194	0.357335930438918	-	putative sensor histidine kinase	1338288
SAUSA300_1550	13	134923	0.357359414505317	-	hypothetical protein	1701715
SAUSA300_1033	9	84836	0.357365332987525	-	iron/heme permease	1129364
SAUSA300_1882	16	85457	0.35756803129389	gatC	aspartyl/glutamyl-tRNA amidotransferase subunit C	2043947
SAUSA300_1705	14	190474	0.357771949978176	-	putative drug transporter	1887832
SAUSA300_2349	19	176089	0.358189907972043	-	formate/nitrite transporter family protein	2526277
SAUSA300_1676	14	146655	0.358197563639687	sgtA	transglycosylase	1844013
SAUSA300_0037	0	176458	0.358228650607837	ccrB	cassette chromosome recombinase B	45892
SAUSA300_2518	21	110253	0.358593117274811	-	hydrolase family protein	2721573
SAUSA300_0847	7	143475	0.358882705761327	-	hypothetical protein	926871
SAUSA300_2501	21	94372	0.359037261976388	-	phytoene dehydrogenase	2705692
SAUSA300_1510	13	93938	0.359241963810045	-	5-formyltetrahydrofolate cyclo-ligase	1660730
SAUSA300_0270	2	192727	0.359893717054254	lytM	peptidoglycan hydrolase	323293
SAUSA300_1587	13	171095	0.359939848517333	hisS	histidyl-tRNA synthetase	1737887
SAUSA300_1771	15	131307	0.360636518551193	-	hypothetical protein	1959231
SAUSA300_1458	12	176303	0.36076682948968	-	glyoxalase family protein	1612529
SAUSA300_0924	8	102968	0.361022680559356	-	sodium transport family protein	1016930
SAUSA300_1055	9	109165	0.361025167910001	efb	fibrinogen-binding protein	1153693
SAUSA300_0178	2	69868	0.361234050823321	-	hypothetical protein	200434
SAUSA300_0978	8	157783	0.361796736318256	-	ABC transporter ATP-binding protein	1071745
SAUSA300_2639	22	122797	0.361811423651623	-	cold shock protein	2864683
SAUSA300_2351	19	178049	0.362369793717482	-	Zn-binding lipoprotein adcA-like protein	2528237
SAUSA300_1069	9	125014	0.362652079302183	-	hypothetical protein	1169542
SAUSA300_1880	16	82558	0.363464062279542	gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B	2041048
SAUSA300_1254	11	75313	0.363593011806223	-	hypothetical protein	1380973
SAUSA300_1707	14	193278	0.363662522314238	-	hypothetical protein	1890636
SAUSA300_1492	13	79956	0.36368024955607	-	hypothetical protein	1646748
SAUSA300_2482	21	68482	0.364038994925944	-	hypothetical protein	2679802
SAUSA300_2286	19	108268	0.364628297376095	-	hypothetical protein	2458456
SAUSA300_0859	7	154151	0.364981422283669	-	NADH-dependent flavin oxidoreductase	937547
SAUSA300_0188	2	86598	0.365151830187718	brnQ	branched-chain amino acid transport system II carrier protein	217164
SAUSA300_0486	4	153490	0.365338415046921	-	hypothetical protein	545188
SAUSA300_1768	15	127395	0.3654344470459	lukD	leukotoxin LukD	1955319
SAUSA300_1317	11	143597	0.365904141047173	msrA	methionine sulfoxide reductase A	1449257
SAUSA300_0623	5	174344	0.366815792054089	tagA	teichoic acid biosynthesis protein	696608
SAUSA300_0833	7	129444	0.368123159800522	-	hypothetical protein	912840
SAUSA300_1713	15	67473	0.368243193247264	ribBA	riboflavin biosynthesis protein	1895397
SAUSA300_1295	11	120233	0.36854093144326	-	CSD family cold shock protein	1425893
SAUSA300_1991	16	190475	0.368607525284652	agrC	accessory gene regulator protein C	2148965
SAUSA300_1584	13	167918	0.36879575419073	-	recombination factor protein RarA	1734710
SAUSA300_1786	15	140335	0.368906791731604	-	ABC transporter ATP-binding protein EcsA	1968259
SAUSA300_1353	12	83324	0.369348042458553	-	hypothetical protein	1519550
SAUSA300_1552	13	135996	0.369397734531494	-	hypothetical protein	1702788
SAUSA300_1334	11	194425	0.36943379414011	-	hypothetical protein	1500085
SAUSA300_1141	10	76451	0.369454525076483	-	endopeptidase resistance protein	1251545
SAUSA300_2029	17	101153	0.369593512594876	-	hypothetical protein	2190209
SAUSA300_0392	3	182934	0.370005308963004	-	hypothetical protein	444066
SAUSA300_1490	13	77626	0.370947395190724	efp	elongation factor P	1644418
SAUSA300_1793	15	148580	0.371813675708763	-	hypothetical protein	1976504
SAUSA300_1758	15	115039	0.371843065524421	splA	serine protease SplA	1942963
SAUSA300_1616	14	72511	0.372118103702244	hemD	uroporphyrinogen III synthase	1769869
SAUSA300_1865	16	67097	0.372323544974705	vraR	DNA-binding response regulator	2025587
SAUSA300_0491	4	160080	0.372677152903121	cysK	cysteine synthase A	551778
SAUSA300_1329	11	184362	0.372806583401975	-	amino acid permease	1490022
SAUSA300_0541	5	85040	0.373356356953865	-	deoxynucleoside kinase family protein	607304
SAUSA300_1085	9	141687	0.373721741444981	-	hypothetical protein	1186215
SAUSA300_0959	8	138223	0.373753564662487	fmt	fmt protein	1052185
SAUSA300_1574	13	154941	0.374097441312872	-	hypothetical protein	1721733
SAUSA300_1116	9	178011	0.375322973287538	-	hypothetical protein	1222539
SAUSA300_1537	13	119648	0.375949139370763	-	16S ribosomal RNA methyltransferase RsmE	1686440
SAUSA300_0725	6	152714	0.377127840679032	-	hypothetical protein	805544
SAUSA300_1877	16	78700	0.37754480794157	-	hypothetical protein	2037190
SAUSA300_0640	5	193036	0.378637763421894	-	hypothetical protein	715300
SAUSA300_1103	9	163110	0.378644744916975	rpoZ	DNA-directed RNA polymerase subunit omega	1207638
SAUSA300_1242	10	185829	0.378678449371124	sbcD	exonuclease SbcD	1360923
SAUSA300_1858	15	192820	0.378821641216133	-	hypothetical protein	2020744
SAUSA300_1368	12	99337	0.37914992751729	ansA	L-asparaginase	1535563
SAUSA300_0992	8	174399	0.380604154734853	-	hypothetical protein	1088361
SAUSA300_1623	14	80190	0.380622259581404	-	hypothetical protein	1777548
SAUSA300_1030	9	81907	0.3807061594487	-	iron transport associated domain-containing protein	1126435
SAUSA300_1557	13	139357	0.382108156581938	-	HAD superfamily hydrolase	1706149
SAUSA300_0147	1	168139	0.382120676156849	-	5- nucleotidase family protein	168139
SAUSA300_2258	19	74805	0.382554388784421	-	formate dehydrogenase- alpha subunit	2424993
SAUSA300_1785	15	139119	0.383079166842189	-	putative ABC transporter protein EcsB	1967043
SAUSA300_0536	5	79604	0.383138793948477	-	chaperone protein HchA	601868
SAUSA300_1899	16	107777	0.383243083803569	-	hypothetical protein	2066267
SAUSA300_0485	4	152984	0.383447040442425	-	cell-division initiation protein	544682
SAUSA300_1173	10	117601	0.383984286770931	-	putative acetoacetyl-CoA reductase	1292695
SAUSA300_0442	4	102627	0.384299609047993	-	hypothetical protein	494325
SAUSA300_0116	1	132230	0.38433911770517	sirB	iron compound ABC transporter permease SirB	132230
SAUSA300_2647	22	130085	0.384685684601452	rnpA	ribonuclease P	2871971
SAUSA300_0958	8	135362	0.385041668293651	-	hypothetical protein	1049324
SAUSA300_0971	8	150904	0.385270497237757	purL	phosphoribosylformylglycinamidine synthase II	1064866
SAUSA300_0869	7	168588	0.385294618345275	rexB	exonuclease RexB	951984
SAUSA300_0743	6	177548	0.385308059114163	hprK	HPr kinase/phosphorylase	830378
SAUSA300_0744	6	178393	0.385747630031147	lgt	prolipoprotein diacylglyceryl transferase	831223
SAUSA300_0522	4	190775	0.386038208819841	rplK	50S ribosomal protein L11	582473
SAUSA300_0328	3	120100	0.386401604415627	-	lipoate-protein ligase A family protein	381232
SAUSA300_0440	4	101983	0.386887867751429	-	MutT/nudix family protein	493681
SAUSA300_0016	0	152753	0.387059347153726	dnaB	replicative DNA helicase	22187
SAUSA300_1372	12	103822	0.387086186984395	-	hypothetical protein	1540048
SAUSA300_1589	13	173690	0.387282903777172	dtd	D-tyrosyl-tRNA-Tyr- deacylase	1740482
SAUSA300_2161	18	120893	0.38770650180266	hysA	hyaluronate lyase	2340515
SAUSA300_0589	5	141435	0.387855180258124	-	aldo/keto reductase family protein	663699
SAUSA300_0830	7	127788	0.387954223221634	-	hypothetical protein	911184
SAUSA300_0717	6	144498	0.388093880123026	nrdF	ribonucleotide-diphosphate reductase subunit beta	797328
SAUSA300_1127	9	191756	0.388169446570247	smc	chromosome segregation protein SMC	1236284
SAUSA300_1780	15	133910	0.388402009045213	-	hypothetical protein	1961834
SAUSA300_0464	4	132723	0.388420703717414	-	hypothetical protein	524421
SAUSA300_1617	14	73201	0.388484616508746	hemC	porphobilinogen deaminase	1770559
SAUSA300_0483	4	152314	0.388725011510954	-	tetrapyrrole methylase family protein	544012
SAUSA300_1139	10	73834	0.388909512563297	sucD	succinyl-CoA synthetase subunit alpha	1248928
SAUSA300_2197	18	147101	0.389618116999881	rplP	50S ribosomal protein L16	2366723
SAUSA300_0726	6	154263	0.389774178069164	-	glycerate kinase family protein	807093
SAUSA300_2359	19	184691	0.390010068815599	-	amino acid ABC transporter amino acid-binding protein	2534879
SAUSA300_1911	16	118141	0.390591023830001	-	ABC transporter ATP-binding protein	2076631
SAUSA300_1730	15	85954	0.391041864025333	metK	S-adenosylmethionine synthetase	1913878
SAUSA300_2377	20	76790	0.392051829255783	-	glycerate kinase	2557544
SAUSA300_0505	4	173285	0.392278435300541	-	glutamine amidotransferase subunit PdxT	564983
SAUSA300_1038	9	90939	0.392348389632447	pheT	phenylalanyl-tRNA synthetase subunit beta	1135467
SAUSA300_1094	9	153273	0.39268825276471	pyrC	dihydroorotase	1197801
SAUSA300_1696	14	172955	0.392730510530595	dat	D-alanine aminotransferase	1870313
SAUSA300_2313	19	135725	0.392846426034367	-	L-lactate permease	2485913
SAUSA300_2004	17	74202	0.392926840433479	-	hypothetical protein	2163258
SAUSA300_1883	16	87664	0.393024508415333	putP	high affinity proline permease	2046154
SAUSA300_2527	21	118027	0.393044632302076	-	hypothetical protein	2729347
SAUSA300_1982	16	181344	0.393166390236229	groEL	chaperonin GroEL	2139834
SAUSA300_1251	11	70909	0.393283789165002	parC	DNA topoisomerase IV subunit A	1376569
SAUSA300_0991	8	172857	0.39335111344912	def	peptide deformylase	1086819
SAUSA300_0625	5	176358	0.394791159960017	tagG	teichoic acid ABC transporter protein	698622
SAUSA300_1714	15	68665	0.395367408448591	ribE	riboflavin synthase subunit alpha	1896589
SAUSA300_2174	18	134816	0.395547958054962	-	cobalt transport family protein	2354438
SAUSA300_1543	13	126255	0.396028608696966	-	coproporphyrinogen III oxidase	1693047
SAUSA300_1541	13	124520	0.396259660045157	grpE	heat shock protein GrpE	1691312
SAUSA300_0697	6	118428	0.396271335790798	-	exsB protein	771258
SAUSA300_2296	19	117553	0.397476684790934	-	esterase-like protein	2467741
SAUSA300_1347	12	77793	0.398010325744553	birA	BirA bifunctional protein	1514019
SAUSA300_1896	16	103791	0.398093568505245	pheA	prephenate dehydratase	2062281
SAUSA300_1598	13	185845	0.398670964731747	ruvA	Holliday junction DNA helicase RuvA	1752637
SAUSA300_2111	18	66348	0.398732586367228	glmM	phosphoglucosamine mutase	2285970
SAUSA300_0837	7	133938	0.39958446716501	dltC	D-alanine--poly-phosphoribitol- ligase subunit 2	917334
SAUSA300_1025	9	75593	0.400348917235322	-	hypothetical protein	1120121
SAUSA300_2138	18	92560	0.400532226397831	-	hypothetical protein	2312182
SAUSA300_0960	8	138760	0.400821038624355	qoxD	quinol oxidase- subunit IV	1052722
SAUSA300_2078	17	150648	0.401745755107058	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2239704
SAUSA300_1750	15	102758	0.401832549079708	-	hypothetical protein	1930682
SAUSA300_1133	10	66290	0.403155106266421	trmD	tRNA -guanine-N-1----methyltransferase	1241384
SAUSA300_0115	1	131235	0.403553351780192	sirC	iron compound ABC transporter permease SirC	131235
SAUSA300_1278	11	101957	0.404298745440263	pepF	oligoendopeptidase F	1407617
SAUSA300_0871	7	173310	0.404498248988128	-	hypothetical protein	956706
SAUSA300_2098	17	173348	0.404586766476139	arsR	ArsR family transcriptional regulator	2262404
SAUSA300_1310	11	138139	0.404596506640821	-	hypothetical protein	1443799
SAUSA300_2208	18	154116	0.404939899093588	topB	DNA topoisomerase III	2373738
SAUSA300_1498	13	84822	0.405452795828019	gcvT	glycine cleavage system aminomethyltransferase T	1651614
SAUSA300_1474	12	192165	0.406587556962117	-	hypothetical protein	1628391
SAUSA300_2506	21	100735	0.408020977378065	isaA	immunodominant antigen A	2712055
SAUSA300_1339	12	67191	0.408348957061015	-	hypothetical protein	1503417
SAUSA300_2385	20	85187	0.409384038839094	-	hypothetical protein	2565941
SAUSA300_0004	0	135617	0.409974581816935	recF	recombination protein F	5051
SAUSA300_1604	13	189673	0.410114204713515	mreD	rod shape-determining protein MreD	1756465
SAUSA300_0347	3	138757	0.410580821514959	tatC	Sec-independent protein translocase TatC	399889
SAUSA300_1684	14	159066	0.411125424190202	-	hypothetical protein	1856424
SAUSA300_1323	11	148744	0.411781503833986	-	hypothetical protein	1454404
SAUSA300_2127	18	81385	0.412162855415342	-	hypothetical protein	2301007
SAUSA300_0378	3	166368	0.412308665588842	-	hypothetical protein	427500
SAUSA300_2250	19	66247	0.412815930162697	nhaC	Na+/H+ antiporter NhaC	2416435
SAUSA300_0519	4	189115	0.413180476906865	-	hypothetical protein	580813
SAUSA300_1685	14	160339	0.413444704874995	-	hypothetical protein	1857697
SAUSA300_1920	16	128855	0.414402506154782	chs	chemotaxis-inhibiting protein CHIPS	2087345
SAUSA300_2533	21	122735	0.414513851047573	panC	pantoate--beta-alanine ligase	2734055
SAUSA300_1626	14	82291	0.41468682508393	rpmI	50S ribosomal protein L35	1779649
SAUSA300_1027	9	77669	0.415597790426152	rpmF	50S ribosomal protein L32	1122197
SAUSA300_1990	16	189158	0.415654114937337	agrD	accessory gene regulator protein D	2147648
SAUSA300_0544	5	87865	0.415936713250161	-	HAD superfamily hydrolase	610129
SAUSA300_2137	18	91483	0.417523391324808	-	hypothetical protein	2311105
SAUSA300_1919	16	127371	0.41813320389384	-	hypothetical protein	2085861
SAUSA300_1892	16	98561	0.419301531878272	-	hypothetical protein	2057051
SAUSA300_0948	8	123711	0.419793925055463	menB	naphthoate synthase	1037673
SAUSA300_0329	3	121440	0.420518302186611	-	putative oxidoreductase	382572
SAUSA300_0785	7	88872	0.420674115998227	-	acetyltransferase	872268
SAUSA300_1375	12	106061	0.420867908822698	-	hypothetical protein	1542287
SAUSA300_2345	19	171570	0.421518483300091	nirD	nitrite reductase [NAD-P-H]- small subunit	2521758
SAUSA300_1190	10	136745	0.422707558209564	glpP	glycerol uptake operon antiterminator regulatory protein	1311839
SAUSA300_0576	5	127994	0.423148117540169	-	putative pyridine nucleotide-disulfide oxidoreductase	650258
SAUSA300_2485	21	72945	0.423419566746752	-	methylated DNA-protein cysteine methyltransferase	2684265
SAUSA300_1695	14	171614	0.42348068795288	-	hypothetical protein	1868972
SAUSA300_1031	9	82983	0.423960579011929	-	hypothetical protein	1127511
SAUSA300_1843	15	176083	0.424577674475696	-	D-isomer specific 2-hydroxyacid dehydrogenase family protein	2004007
SAUSA300_2379	20	78902	0.425940965842638	-	putative transporter protein	2559656
SAUSA300_0762	7	67225	0.426557986627696	secG	preprotein translocase subunit SecG	850621
SAUSA300_1165	10	106213	0.427250158390079	ribF	riboflavin biosynthesis protein ribF	1281307
